NAMELSAD,B02001e1,B02001e2,B02001e3,B02001e4,B02001e5,B02001e6,B02001e7,B17001e1,B17001e2,B17001e3,B17001e4,B17001e5,B17001e6,B17001e7,B17001e8,TotalMinor,TotalSnr,cancer_cru,casthma_cr,chd_crudep,copd_crude,GEOID
Census Tract 7308.02,2365.000000000000000,1700.000000000000000,176.000000000000000,5.000000000000000,111.000000000000000,0.000000000000000,40.000000000000000,2322.000000000000000,65.000000000000000,25.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,439.000000000000000,287.000000000000000,8.000000000000000,11.400000000000000,5.400000000000000,4.900000000000000,25027730802
Census Tract 7309.01,3808.000000000000000,3307.000000000000000,142.000000000000000,12.000000000000000,0.000000000000000,8.000000000000000,7.000000000000000,3740.000000000000000,376.000000000000000,143.000000000000000,11.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,715.000000000000000,839.000000000000000,9.600000000000000,11.900000000000000,7.100000000000000,6.700000000000000,25027730901
Census Tract 7309.02,4233.000000000000000,3481.000000000000000,424.000000000000000,0.000000000000000,126.000000000000000,0.000000000000000,73.000000000000000,2756.000000000000000,364.000000000000000,225.000000000000000,0.000000000000000,0.000000000000000,23.000000000000000,27.000000000000000,0.000000000000000,414.000000000000000,553.000000000000000,6.000000000000000,13.000000000000000,5.000000000000000,5.200000000000000,25027730902
Census Tract 7311.01,3708.000000000000000,2295.000000000000000,169.000000000000000,0.000000000000000,446.000000000000000,0.000000000000000,531.000000000000000,3688.000000000000000,935.000000000000000,401.000000000000000,10.000000000000000,0.000000000000000,87.000000000000000,0.000000000000000,0.000000000000000,781.000000000000000,695.000000000000000,6.900000000000000,12.699999999999999,6.900000000000000,7.500000000000000,25027731101
Census Tract 7319,5680.000000000000000,3049.000000000000000,769.000000000000000,99.000000000000000,99.000000000000000,0.000000000000000,598.000000000000000,5638.000000000000000,1545.000000000000000,652.000000000000000,128.000000000000000,0.000000000000000,109.000000000000000,53.000000000000000,0.000000000000000,1684.000000000000000,564.000000000000000,4.900000000000000,13.800000000000001,6.800000000000000,8.199999999999999,25027731900
Census Tract 7320.01,3974.000000000000000,1946.000000000000000,940.000000000000000,0.000000000000000,95.000000000000000,0.000000000000000,476.000000000000000,3974.000000000000000,2396.000000000000000,1074.000000000000000,183.000000000000000,31.000000000000000,304.000000000000000,134.000000000000000,32.000000000000000,1658.000000000000000,145.000000000000000,3.600000000000000,15.100000000000000,5.800000000000000,8.199999999999999,25027732001
Census Tract 7271,5005.000000000000000,4391.000000000000000,388.000000000000000,0.000000000000000,76.000000000000000,7.000000000000000,4.000000000000000,4303.000000000000000,81.000000000000000,22.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7.000000000000000,0.000000000000000,825.000000000000000,807.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027727100
Census Tract 7282,4124.000000000000000,3641.000000000000000,23.000000000000000,0.000000000000000,43.000000000000000,0.000000000000000,20.000000000000000,4106.000000000000000,324.000000000000000,158.000000000000000,11.000000000000000,0.000000000000000,38.000000000000000,0.000000000000000,0.000000000000000,1020.000000000000000,735.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027728200
Census Tract 7291,5177.000000000000000,4500.000000000000000,272.000000000000000,6.000000000000000,80.000000000000000,0.000000000000000,107.000000000000000,3959.000000000000000,350.000000000000000,103.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,18.000000000000000,0.000000000000000,751.000000000000000,1107.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027729100
Census Tract 7320.02,5054.000000000000000,3190.000000000000000,480.000000000000000,0.000000000000000,599.000000000000000,4.000000000000000,145.000000000000000,4402.000000000000000,752.000000000000000,351.000000000000000,0.000000000000000,0.000000000000000,66.000000000000000,0.000000000000000,0.000000000000000,583.000000000000000,983.000000000000000,8.699999999999999,11.800000000000001,7.400000000000000,6.700000000000000,25027732002
Census Tract 7310.02,6770.000000000000000,4700.000000000000000,681.000000000000000,11.000000000000000,841.000000000000000,0.000000000000000,168.000000000000000,6650.000000000000000,1402.000000000000000,584.000000000000000,43.000000000000000,42.000000000000000,0.000000000000000,7.000000000000000,0.000000000000000,1337.000000000000000,971.000000000000000,7.400000000000000,12.400000000000000,6.800000000000000,6.800000000000000,25027731002
Census Tract 7312.03,5731.000000000000000,3673.000000000000000,486.000000000000000,100.000000000000000,783.000000000000000,0.000000000000000,271.000000000000000,5231.000000000000000,2053.000000000000000,695.000000000000000,38.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,722.000000000000000,608.000000000000000,5.100000000000000,13.699999999999999,7.800000000000000,8.199999999999999,25027731203
Census Tract 7312.04,2429.000000000000000,1472.000000000000000,190.000000000000000,25.000000000000000,316.000000000000000,0.000000000000000,165.000000000000000,2425.000000000000000,648.000000000000000,339.000000000000000,10.000000000000000,0.000000000000000,26.000000000000000,0.000000000000000,0.000000000000000,369.000000000000000,251.000000000000000,4.500000000000000,12.699999999999999,6.300000000000000,7.200000000000000,25027731204
Census Tract 7323.02,4876.000000000000000,3463.000000000000000,500.000000000000000,81.000000000000000,385.000000000000000,0.000000000000000,212.000000000000000,4876.000000000000000,788.000000000000000,296.000000000000000,34.000000000000000,0.000000000000000,0.000000000000000,60.000000000000000,0.000000000000000,1264.000000000000000,615.000000000000000,5.800000000000000,13.000000000000000,5.400000000000000,6.400000000000000,25027732302
Census Tract 7306,9749.000000000000000,8209.000000000000000,543.000000000000000,43.000000000000000,544.000000000000000,16.000000000000000,22.000000000000000,7831.000000000000000,323.000000000000000,99.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1646.000000000000000,2177.000000000000000,8.800000000000001,11.400000000000000,6.100000000000000,5.200000000000000,25027730600
Census Tract 7305,3922.000000000000000,1986.000000000000000,775.000000000000000,0.000000000000000,173.000000000000000,0.000000000000000,288.000000000000000,3861.000000000000000,786.000000000000000,330.000000000000000,70.000000000000000,0.000000000000000,22.000000000000000,51.000000000000000,0.000000000000000,1369.000000000000000,184.000000000000000,5.400000000000000,12.900000000000000,4.700000000000000,5.400000000000000,25027730500
Census Tract 7365,4538.000000000000000,4255.000000000000000,6.000000000000000,0.000000000000000,146.000000000000000,0.000000000000000,41.000000000000000,4538.000000000000000,85.000000000000000,36.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,805.000000000000000,1189.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027736500
Census Tract 7392.01,3832.000000000000000,2175.000000000000000,16.000000000000000,0.000000000000000,1017.000000000000000,0.000000000000000,83.000000000000000,3832.000000000000000,238.000000000000000,142.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,773.000000000000000,348.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027739201
